district,week,program_count,available_count,low_cost_share,indoor_share,category_diversity,age_group,availability_share,count_scaled,diversity_scaled,choice_index
종로구,1,26,1,1.0,0.07692307692307693,8,10-12세,0.038461538461538464,0.52,0.5333333333333333,45.40512820512821
종로구,2,6,0,1.0,0.3333333333333333,3,10-12세,0.0,0.12,0.2,26.53333333333333
종로구,3,7,0,1.0,0.2857142857142857,4,10-12세,0.0,0.14,0.26666666666666666,28.090476190476192
종로구,4,11,0,1.0,0.36363636363636365,6,10-12세,0.0,0.22,0.4,34.336363636363636
종로구,5,10,0,1.0,0.4,6,10-12세,0.0,0.2,0.4,34.0
종로구,6,13,2,1.0,0.3076923076923077,7,10-12세,0.15384615384615385,0.26,0.4666666666666667,39.58717948717948
종로구,7,9,1,1.0,0.3333333333333333,6,10-12세,0.1111111111111111,0.18,0.4,34.855555555555554
종로구,8,6,0,1.0,0.16666666666666666,4,10-12세,0.0,0.12,0.26666666666666666,26.200000000000003
종로구,9,12,1,0.9166666666666666,0.3333333333333333,7,10-12세,0.08333333333333333,0.24,0.4666666666666667,36.48333333333333
종로구,10,11,4,1.0,0.36363636363636365,7,10-12세,0.36363636363636365,0.22,0.4666666666666667,42.942424242424245
종로구,11,7,1,1.0,0.14285714285714285,5,10-12세,0.14285714285714285,0.14,0.3333333333333333,30.852380952380955
종로구,12,20,11,1.0,0.4,5,10-12세,0.55,0.4,0.3333333333333333,50.66666666666667
종로구,13,20,4,1.0,0.45,10,10-12세,0.2,0.4,0.6666666666666666,50.83333333333333
종로구,14,22,8,1.0,0.2727272727272727,8,10-12세,0.36363636363636365,0.44,0.5333333333333333,51.06666666666666
종로구,15,14,5,1.0,0.14285714285714285,5,10-12세,0.35714285714285715,0.28,0.3333333333333333,40.03809523809523
종로구,16,17,2,1.0,0.29411764705882354,7,10-12세,0.11764705882352941,0.34,0.4666666666666667,41.52745098039215
종로구,17,22,7,1.0,0.2727272727272727,12,10-12세,0.3181818181818182,0.44,0.8,55.4909090909091
종로구,18,32,16,1.0,0.25,12,10-12세,0.5,0.64,0.8,65.9
종로구,19,19,3,1.0,0.2631578947368421,9,10-12세,0.15789473684210525,0.38,0.6,46.089473684210525
종로구,20,37,20,1.0,0.43243243243243246,15,10-12세,0.5405405405405406,0.74,1.0,76.03513513513514
종로구,21,27,10,1.0,0.25925925925925924,8,10-12세,0.37037037037037035,0.54,0.5333333333333333,54.56666666666666
종로구,22,21,9,1.0,0.2857142857142857,8,10-12세,0.42857142857142855,0.42,0.5333333333333333,51.79523809523809
종로구,23,22,5,1.0,0.18181818181818182,7,10-12세,0.22727272727272727,0.44,0.4666666666666667,46.096969696969694
종로구,24,13,1,1.0,0.3076923076923077,4,10-12세,0.07692307692307693,0.26,0.26666666666666666,34.04871794871795
종로구,25,19,2,1.0,0.3157894736842105,9,10-12세,0.10526315789473684,0.38,0.6,45.56315789473684
종로구,26,10,1,1.0,0.5,6,10-12세,0.1,0.2,0.4,37.0
종로구,27,18,1,1.0,0.2777777777777778,5,10-12세,0.05555555555555555,0.36,0.3333333333333333,38.15555555555555
종로구,28,19,0,1.0,0.42105263157894735,5,10-12세,0.0,0.38,0.3333333333333333,39.17719298245614
종로구,29,16,1,1.0,0.25,6,10-12세,0.0625,0.32,0.4,37.95
종로구,30,15,0,1.0,0.26666666666666666,7,10-12세,0.0,0.3,0.4666666666666667,37.5
종로구,31,13,0,1.0,0.07692307692307693,7,10-12세,0.0,0.26,0.4666666666666667,34.202564102564104
종로구,32,16,0,0.9375,0.4375,6,10-12세,0.0,0.32,0.4,37.6375
종로구,33,14,0,1.0,0.5714285714285714,8,10-12세,0.0,0.28,0.5333333333333333,41.180952380952384
종로구,34,16,0,1.0,0.125,7,10-12세,0.0,0.32,0.4666666666666667,36.78333333333333
종로구,35,18,0,1.0,0.16666666666666666,7,10-12세,0.0,0.36,0.4666666666666667,38.6
종로구,36,22,0,1.0,0.3181818181818182,8,10-12세,0.0,0.44,0.5333333333333333,44.24848484848485
종로구,37,16,0,0.9375,0.3125,8,10-12세,0.0,0.32,0.5333333333333333,39.05416666666667
종로구,38,29,1,0.9655172413793104,0.2413793103448276,7,10-12세,0.034482758620689655,0.58,0.4666666666666667,47.219540229885055
종로구,39,27,1,1.0,0.4444444444444444,13,10-12세,0.037037037037037035,0.54,0.8666666666666667,56.41851851851851
종로구,40,13,0,1.0,0.15384615384615385,9,10-12세,0.0,0.26,0.6,37.638461538461534
